predator	reference	river	year	region	season	FG1	FG2	FG3	FG4	NA	Total
dipper	Agnew and Perry 1993	Faughan	NA	Ireland	Apr-Aug	0	18.42105263	62.5	0	0	80.92105263
dipper	Agnew and Perry 1993	Roe	NA	Ireland	Apr-Aug	0	25.15923567	53.18471338	0.636942675	0	78.98089172
dipper	Horbath 2002	Josva	1991	Hungary	Sep-Mar	82.5	10.4	6.9	0.05	0	99.85
dipper	Horbath 2002	Josva	1992	Hungary	Sep-Mar	58.775	18.35	21.075	3.755	0	101.955
dipper	Ormerod 1985	Wye	1983	Wales	Apr-Aug	0	37.9	57.73333333	0	0	95.63333333
dipper	Ormerod and Tyler 1986	Wye	1983-1985	Wales	Sep-Mar	7.8	14.8	73.35	1.5	1.7	99.15
dipper	Ormerod and Tyler 1991	acidic	1988-1989	Wales	Apr-Aug	0	17.8	70.2	0	0	88
dipper	Ormerod and Tyler 1991	acidic	1988-1989	Wales	NA	0	25.14178542	70.51821458	0	0	95.66
dipper	Ormerod and Tyler 1991	circumneutral	1988-1989	Wales	Apr-Aug	0	28.7	74.3	0	0	103
dipper	Ormerod and Tyler 1991	circumneutral	1988-1989	Wales	NA	0	26.76	68.72	0	0.28	95.76
dipper	Ormerod et al 1987	Imsvassdraget Figgjovassdraget Hvassdraget	1985	Norway	Apr-Aug	0	17.65	81.35	0.05	0	99.05
dipper	Santamaria 1990b	Ulla	1987-1988	Spain	Apr-Aug	0.625	2.9	85.55	2.975	0	92.05
dipper	Santamaria 1990b	Ulla	1987-1988	Spain	Sep-Mar	0	8.25	85.65	2.35	0.1	96.35
dipper	Santamaria 1993	Riobo	NA	Spain	Apr-Aug	2	12	61.75	5.5	0	81.25
dipper	Santamaria 1993	Riobo	NA	Spain	Sep-Mar	0	13	50.5	27.75	0	91.25
dipper	Smith and Ormerod 1986	Wye	1985	Wales	Apr-Aug	0	2	92.2	0	0.3	94.5
dipper	Taylor and OHalloran 1997	Araglin Douglas Glashaboy Licky	1991-1992	Ireland	Winter and Summer	2.578217546	13.95721553	75.18639816	3.180963	0	94.90279423
dipper	Taylor and OHalloran 2001	baseflow	1991	Ireland	Sep-Mar	7.8	17.5	66.2	0	0	91.5
dipper	Taylor and OHalloran 2001	spate	1991	Ireland	Sep-Mar	2.6	10	65.6	0	0	78.2
salmon	Allen 1941	Eden	NA	Scotland	annual	0	3.8	61.625	0.0325	0	65.4575
salmon	Allen 1941	Thurso	NA	Scotland	annual	0	4.7	60.55	1.65	0	66.9
salmon	Bailey 1961	Yarty	1961-1962	England	annual	5.73	0.61	76.32	0.1	1.36	84.12
salmon	Dineen et al 2007	Closed Canopy - Addergoole Beltra Crumpaun Glenisland	2002	Ireland	annual	0	0	65.6	0	0	65.6
salmon	Dineen et al 2007	Closed Canopy - Addergoole Beltra Crumpaun Glenisland	2002	Ireland	Apr-Aug	0	0	78.76666667	0	0	78.76666667
salmon	Dineen et al 2007	Closed Canopy - Addergoole Beltra Crumpaun Glenisland	2002	Ireland	Sep-Mar	0	0	43.15	0	0	43.15
salmon	Dineen et al 2007	Grassland - Lodge  Srahrevagh	2002	Ireland	annual	0	0	59.05	0	0	59.05
salmon	Dineen et al 2007	Grassland - Lodge  Srahrevagh	2002	Ireland	Apr-Aug	0	0	63.3	0	0	63.3
salmon	Dineen et al 2007	Grassland - Lodge  Srahrevagh	2002	Ireland	Sep-Mar	0	0	45.5	0	0	45.5
salmon	Dineen et al 2007	Open Canopy - Boghadoon  Skerdagh	2002	Ireland	annual	0	0	72.5	0	0	72.5
