number	order	family	genus	drift_index	calcium	flow_ 0-5	flow_ 5-2	flow_ 25-	flow_ g75	f_exp_prot	f_exp_expo	shape_cyli	shape_sphe	shape_coni	shape_flat	shape_stre	drift_wc_none	drift_wc_weak	drift_wc_medi	drift_wc_high	drift_ws_none	drift_ws_weak	drift_ws_medi	drift_ws_high	diel_b_t-li	diel_b_d-li	diel_b_dawn	diel_b_noct	diel_b_none	traj_osci	traj_lin	traj_rand	traj_none	size_l.25	size_> .5	size_1-2 	size_2-4 	size_g4-8	aggreg_high	aggreg_weak	conceal_sold	conceal_patt	conceal_var-	conceal_case	conceal_net	flex_none	flex_weak	flex_high	locom_surf	locom_full	locom_craw	locom_burr	locom_inte	locom_temp	locom_perm	subs_flag	subs_grav	subs_sand	subs_silt	subs_macr	subs_micr	subs_twig	subs_orga	subs_mud
1	Coleoptera	Dytiscidae	Agabus	NA	low	3	1	0	0	3	0	0	3	0	1	0	0	3	0	0	0	3	0	0	0	0	0	0	3	0	3	1	0	0	3	2	0	0	1	1	3	0	0	0	0	3	0	0	0	3	3	0	0	0	0	0	1	1	1	3	0	0	3	3
2	Trichoptera	Glossosomatidae	Agapetus	49.2	low	0	2	2	1	0	3	5	0	0	1	0	1	3	0	0	1	1	0	0	1	0	1	3	0	0	1	0	1	0	3	0	0	0	3	0	3	0	0	3	0	3	1	0	0	0	1	0	0	3	0	5	2	1	0	1	0	0	1	0
3	Plecoptera	Nemouridae	Amphinemura	57.6	low	0	1	2	1	2.5	1	5	0	0	0	0	0	2	2	1	0	1.5	0.5	0	3	2.5	3	3	0	0	3	0	0	1	3	0	0	0	1	1	3	0	0	0	0	3	1	0	0	0	5	0	0	0	0	3	0	0	0	4	0	0	2	0
4	Gastropoda	Planorbidae	Ancylus	13	high	1	1	3	2	1	3	0	0	5	0	0	3	2	0	0	3	1	0	0	0	0	0	0	3	0	1	0	3	0	3	3	0	0	3	1	3	0	0	0	0	3	0	0	0	0	3	0	0	2	0	5	4	0	0	2	2	1	0	0
5	Isopoda	Asellidae	Asellus	NA	high	3	3	0	0	3	0	1	0	0	4	0	0	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	1	0	0	0	3	0	0	NA	NA	3	1	0	0	0	2	1	0	0	0	3	0	2	0	0	1	1	1	0	5	3	2	3	1
6	Diptera	Athericidae	Atherix	58.8	low	0	2	3	0	3	0	5	0	0	0	0	2	1	0	0	3	0	0	0	0	1	0	1	3	0	3	0	0	0	0	0	3	0	1	1	3	0	0	0	0	0	1	3	0	0	5	0	2	0	0	4	2	0	0	4	0	1	1	1
7	Ephemeroptera	Baetidae	Baetis	93	low	0	2	3	2	1	3	5	0	0	0	0	0	0	2	3	0	0	1	3	4	2	5	4	2	1	1	0	2	0	3	1	0	0	3	1	2	0	1	0	0	0	1	3	0	3	4	0	1	0	0	4	2	1	0	5	0	3	1	0
8	Trichoptera	Beraeidae	Beraea	NA	low	1	2	1	0	2	0	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	0	0	0	NA	NA	3	0	0	3	0	3	1	0	0	0	5	0	0	0	0	3	0	1	0	2	0	2	4	0
9	Plecoptera	Taeniopterygidae	Brachyptera	9	low	0	0	3	2	1	3	5	0	0	0	0	0	2	1	0	NA	NA	NA	NA	1	1	1	1	0	0	3	0	0	0	1	3	0	0	NA	NA	3	0	0	0	0	2	3	0	0	0	5	1	1	0	0	4	0	0	1	0	0	2	2	0
10	Ephemeroptera	Caenidae	Caenis	11.5	low	3	3	1	0	3	0	3	0	0	1	0	1	2	0	0	1	2	0	0	1	1	5	1	0	0	3	0	0	2	3	0	0	0	3	1	2	0	1	0	0	0	3	0	0	0	5	1	1	0	0	2	2	3	3	4	0	2	3	5
