number	order	family	genus	lifespan_l1yr	lifespan_g1yr	gen_less	gen_equa	gen_grea	stage_egg	stage_larv	stage_nymp	stage_adul	rep_ovov	rep_isol	rep_isol	rep_clut	rep_clut	rep_clut	rep_clut	rep_asex	disp_aq_pas	disp_aq_act	disp_aer_pas	disp_aer_act	resist_eggs	resist_coco	resist_hous	resist_diap	resist_none	resp_tegu	resp_gill	resp_plas	resp_spir	resp_hydr
1	Coleoptera	Dytiscidae	Agabus	0	3	0	3	1	3	3	0	2	0	0	0	3	0	1	0	0	1	1	0	3	0	0	0	0	3	1	0	0	3	0
2	Trichoptera	Glossosomatidae	Agapetus	3	0	0	3	1	3	3	3	0	0	0	0	3	0	0	0	0	1	2	1	1	0	2	0	2	0	3	0	0	0	0
3	Plecoptera	Nemouridae	Amphinemura	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	2	2	3	2	0	0	0
4	Gastropoda	Planorbidae	Ancylus	3	0	0	3	0	3	0	0	3	0	0	0	3	0	0	0	0	2	1	1	0	0	0	0	0	2	3	0	0	0	0
5	Isopoda	Asellidae	Asellus	3	1	0	1	3	3	3	0	3	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	3	0	0	0
6	Diptera	Athericidae	Atherix	3	1	1	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0
7	Ephemeroptera	Baetidae	Baetis	3	0	0	2	3	3	3	0	0	0	0	1	3	0	0	0	0	3	2	1	3	2	0	0	0	2	1	2	0	0	0
8	Trichoptera	Beraeidae	Beraea	3	0	0	3	0	3	2	3	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0
9	Plecoptera	Taeniopterygidae	Brachyptera	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	2	0	3	0	0	0	0
10	Ephemeroptera	Baetidae	Caenis	3	0	0	1	3	3	3	0	0	0	1	2	0	0	0	0	0	2	1	1	1	2	0	0	1	2	1	3	0	0	0
