order	family	genus_all	species	taxa	lifespan_l1yr	lifespan_g1yr	gen_less	gen_equa	gen_grea	stage_egg	stage_larv	stage_nymp	stage_adul	rep_ovov	rep_isol	rep_isol.1	rep_clut	rep_clut.1	rep_clut.2	rep_clut.3	rep_asex	disp_aq_pas	disp_aq_act	disp_aer_pas	disp_aer_act	resist_eggs	resist_coco	resist_hous	resist_diap	resist_none	resp_tegu	resp_gill	resp_plas	resp_spir	resp_hydr
Coleoptera	DYTISCIDAE	Agabus	sp. Ad. / Lv.	Agabus	0	3	0	3	1	3	3	0	2	0	0	0	3	0	1	0	0	1	1	0	3	0	0	0	0	3	1	0	0	3	0
Trichoptera	GLOSSOSOMATIDAE	Agapetus	sp.	Agapetus	3	0	0	3	1	3	3	3	0	0	0	0	3	0	0	0	0	1	2	1	1	0	2	0	2	0	3	0	0	0	0
Plecoptera	NEMOURIDAE	Amphinemura	sp.	Amphinemura	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	2	2	3	2	0	0	0
Gastropoda	PLANORBIDAE	Ancylus	fluviatilis	Ancylus_fluviatilis	3	0	0	3	0	3	0	0	3	0	0	0	3	0	0	0	0	2	1	1	0	0	0	0	0	2	3	0	0	0	0
Crustacea	ASELLIDAE	Asellus	aquaticus	Asellus_aquaticus	3	1	0	1	3	3	3	0	3	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	0	3	0	0	0
Diptera	ATHERICIDAE	Atherix	sp.	Atherix	3	1	1	3	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	3	0	1	0	0	0
Ephemeroptera	BAETIDAE	Baetis	sp.	Baetis	3	0	0	2	3	3	3	0	0	0	0	1	3	0	0	0	0	3	2	1	3	2	0	0	0	2	1	2	0	0	0
Trichoptera	BERAEIDAE	Beraea	sp.	Beraea	3	0	0	3	0	3	2	3	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	0	0	0
Plecoptera	TAENIOPTERYGIDAE	Brachyptera	sp.	Brachyptera	3	0	0	3	0	3	3	0	0	0	0	3	0	0	0	0	0	2	2	0	1	1	0	0	2	0	3	0	0	0	0
Ephemeroptera	CAENIDAE	Caenis	sp.	Caenis	3	0	0	1	3	3	3	0	0	0	1	2	0	0	0	0	0	2	1	1	1	2	0	0	1	2	1	3	0	0	0
Plecoptera	CAPNIIDAE	Capnia	sp.	Capnia	3	0	0	3	0	3	3	0	0	3	1	0	0	0	0	0	0	1	2	0	1	0	0	0	3	1	3	0	0	0	0
		Ceratopogoninae			3	0	0	2	2	1	2	2	0	0	0	1	3	0	0	0	0	3	1	0	2	1	0	0	0	3	0	3	0	0	0
		Chaetopteryx			3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	0	1	0	3	0	0	0	2	1	2	2	0	0	0
		Chironomidae			3	0	0	2	2	0	3	3	0	0	0	0	1	3	0	0	0	2	1	2	1	0	0	0	0	3	3	1	0	0	0
Plecoptera	CHLOROPERLIDAE	Chloroperla	sp.	Chloroperla	1	3	3	1	0	3	3	0	0	0	0	2	2	0	0	0	0	3	2	0	1	0	0	0	0	3	3	0	0	0	0
Diptera	EMPIDIDAE	Clinocerinae	Gen. sp.	Clinocerinae	3	0	0	3	1	0	3	3	0	0	0	0	0	0	0	3	0	1	1	0	3	0	0	0	0	0	1	0	0	1	0
Odonata	CORDULEGASTRIDAE	Cordulegaster	sp.	Cordulegaster	0	3	3	0	0	2	3	0	0	0	3	0	0	0	0	1	0	2	0	0	3	0	0	0	0	3	1	3	0	0	0
		Corixidae			3	0	0	1	2	3	3	0	2	0	0	1	3	0	0	0	0	1	2	0	2	0	0	0	1	0	1	0	2	3	0
Trichoptera	LEPIDOSTOMATIDAE	Crunoecia	sp.	Crunoecia	0	3	3	0	0	3	2	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	0	0	2	2	0	0	0
Plecoptera	PERLIDAE	Dinocras	sp.	Dinocras	0	3	3	0	0	3	3	0	0	0	0	3	0	0	0	0	0	1	2	0	1	2	0	0	2	1	0	3	0	0	0
Trichoptera	HYDROPSYCHIDAE	Diplectrona	felix	Diplectrona_felix	3	1	1	3	0	3	3	3	0	0	0	0	3	0	0	0	0	3	1	1	3	0	0	0	0	3	2	0	0	0	0
Plecoptera	PERLODIDAE	Diura	bicaudata	Diura_bicaudata	1	3	3	2	0	3	3	0	0	0	0	0	1	3	0	0	0	1	2	0	1	3	0	0	2	0	3	0	0	0	0
Diptera	DIXIDAE	Dixa	sp.	Dixa	3	0	0	3	0	2	3	2	0	0	0	0	3	1	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	3	0
		Dixidae			3	0	0	3	0	2	3	2	0	0	0	0	3	1	0	1	0	3	1	1	0	0	0	0	2	0	0	0	0	3	0
Trichoptera	LIMNEPHILIDAE	Drusus	sp.	Drusus	3	1	1	3	0	3	3	3	0	0	0	0	3	0	0	1	0	3	2	0	2	0	0	0	0	1	3	2	0	0	0
Coleoptera	DRYOPIDAE	Dryops	sp. Ad. / Lv.	Dryops	1	3	0	3	0	1	2	0	1	0	0	0	0	0	1	3	0	0	1	0	3	0	0	0	0	3	3	0	3	3	0
		Dytiscidae_larvae			1	3	0	2	2	3	3	0	2	0	0	0	2	0	1	0	0	1	1	0	3	0	0	0	0	3	1	0	0	3	0
Trichoptera	LIMNEPHILIDAE	Ecclisopteryx	sp.	Ecclisopteryx	1	0	0	3	0	3	3	3	0	0	0	0	3	0	0	1	0	0	2	0	2	0	0	0	0	0	3	2	0	0	0
Ephemeroptera	HEPTAGENIIDAE	Ecdyonurus	sp.	Ecdyonurus	3	1	1	3	0	3	3	0	0	0	2	0	3	0	0	0	0	3	1	1	3	2	0	0	1	2	1	3	0	0	0
Ephemeroptera	HEPTAGENIIDAE	Electrogena	sp.	Electrogena	3	0	0	3	0	3	3	0	0	0	1	2	0	0	0	0	0	3	1	1	3	2	0	0	1	2	1	3	0	0	0
Coleoptera	ELMIDAE	Elmis	sp. Ad. / Lv.	Elmis	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
		Empididae			3	0	0	3	2	0	3	3	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	0	0	1	0	0	1	0
Ephemeroptera	EPHEMERIDAE	Ephemera	sp.	Ephemera	1	3	3	1	0	3	3	0	0	0	0	3	1	0	0	0	0	1	1	1	3	2	0	0	3	0	1	3	0	0	0
Hirudinea	ERPOBDELLIDAE	Erpobdella	sp.	Erpobdella	1	3	1	3	0	3	3	0	2	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	3	3	0	0	0	0
Coleoptera	ELMIDAE	Esolus	sp. Ad. / Lv.	Esolus	1	3	0	3	0	3	3	0	2	0	0	0	3	0	0	0	0	2	1	0	2	0	0	0	0	3	1	3	3	0	0
Crustacea	GAMMARIDAE	Gammarus	sp.	Gammarus	1	3	0	0	3	3	3	0	3	3	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	3	0	3	0	0	0
